huc8,tnmid,metasourceid,sourcedatadesc,sourceoriginator,loaddate,areaacres,areasqkm,states,name,globalid,shape_Length,shape_Area,__index_level_0__,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
15050202,{21A6AE9C-8C85-4578-AE5A-368093D0E9E5},,,,2012-06-11 07:54:57,1587400.21,6423.99,"AZ,MX",Upper San Pedro,{D260CF32-F451-43CF-B63B-37F56EEC9A02},5.472282818182448,0.610343158977322,434,421.04948924875043,484.6512109865294,471.23419410212546,344.5982045000576,418.9214836207672,347.86883977300397,302.2063293637179,404.9692263258138,355.1393992825738,325.3007557748387,527.4076896146408,295.6167788252105,309.07520198332236,364.30052315158883,376.3850538605105,329.2910331568772,388.2498336678329,438.2343666827056,364.13228257518216,437.6608746570566,351.31283938071635,374.6622334670463,347.63342278315326,371.9483741551691,565.7839838853519,444.37361768847495,362.6455854619518,276.8414741841744,297.2380857415175,401.7391775252379
15080102,{568424D6-AAD7-4741-BEF8-CC7DFC5DDDB0},,,,2012-06-11 07:54:57,3060043.61,12383.57,"AZ,MX",Rio Sonoyta,{3233D141-D4E2-4530-BBE3-1D174E205DD0},6.2298301424074864,1.1750518392739016,435,150.37327522024694,235.4677915825167,210.81397583872894,151.97652026081923,174.73594853367047,148.65901114154158,124.31914570535608,216.5888118623031,147.30139410888106,87.63397859201649,185.58765377448606,83.32088969602144,180.16053613817127,155.212080374819,186.00246703644086,115.03362985504621,82.87235166567767,174.25486903147092,84.34245705081287,129.11385181703054,119.05617695807473,255.18343795069603,209.72472768133164,229.11597918873855,249.28742271923963,143.67621481588054,188.3004959137349,170.85059109824644,257.7956974330446,222.60367239632495
14080106,{D1677351-E56E-4D3E-83F2-6FCBC192BA92},,,,2012-06-11 07:54:57,2927136.55,11845.71,"AZ,NM",Chaco,{AC5AE26D-51AE-4B94-BD10-642E9AB4CB61},6.789478660725958,1.1855913319521034,607,220.3495990963212,250.5497800951635,202.57263238898443,228.6731618346952,228.59483394156987,175.03095031652128,265.186918845518,213.4979059784569,278.6141387588189,167.37710799707855,208.52925012338045,146.09634561887347,196.3837693118652,197.62861539039932,241.9697379551671,214.21140891691405,254.46748174496264,198.08953433238554,196.11878827889566,200.20005990475477,238.00374633378658,192.61608882460047,193.27469362511894,198.25230529620475,308.500980845889,207.98345068236546,196.13701475348608,157.449339456304,160.66234846818108,166.14204761371332
15020003,{235091EF-6669-4A64-BA91-64627FEDEA28},,,,2012-06-11 07:54:57,1446077.4,5852.07,"AZ,NM",Carrizo Wash,{9644B821-2D0F-4609-A1DB-7431F16EAF51},4.734427139379416,0.5735119406261815,609,282.899241558065,372.98186666320544,289.54893244050623,364.8305268030292,301.3683336593729,284.68082873575753,367.3444603626576,333.46555751821523,351.12541941162215,201.71425220037457,311.66848173423136,256.1697470990186,288.79870470303786,269.8364116946748,326.7245407197361,299.8456077047079,317.0707538592439,261.4353507948825,287.0543632872247,278.0560672312901,289.49192502652625,263.8388500349454,297.28401524783965,272.2081718817748,386.63228832137156,273.5535002415349,258.0619133702847,224.14520332329752,249.56901454881634,257.08152144304563
15020004,{26DFDAF3-F10C-424A-8FF7-433F1B7FCE00},,,,2021-01-21 14:27:13,1707350.17,6909.41,"AZ,NM",Zuni,{E606D6E7-1604-4177-9048-A005D43020B5},5.1166502590093845,0.6817553761627198,610,277.31727294811037,356.4593189555901,273.0182631283354,350.5275222131761,307.5974811054296,289.3691581955567,365.33469736297917,320.4542446401739,353.19575833142096,216.21261836438666,288.7399755173123,249.29706474027626,274.07562187874004,243.77452580121462,294.68485669453,278.7221602364203,296.1868593652846,257.65814478175696,262.76233637440015,257.3435489354233,293.8604772057448,251.7106404074825,260.2788178001034,228.677811895864,328.40705846481853,249.6299478458165,261.2608490281533,216.84675146319344,235.08062725755764,246.93597705266606
15040002,{89233D54-146D-4110-8DE8-516DD7B99C2E},,,,2012-06-11 07:54:57,1310977.35,5305.34,"AZ,NM",Upper Gila-Mangas,{939CCC84-0931-4B34-853B-2BFF8E022644},4.442041925980159,0.5109003833655223,622,441.33836335029355,523.5913256183192,453.31347307876945,346.6123195393726,354.62386123602437,354.38730392753337,384.5978397246797,423.08960073232646,355.535287305965,213.80731478876845,398.6603230074255,280.33171700696533,270.72353698243506,342.0254072528591,426.90908926138883,373.16689439932446,457.66618814936754,380.0728108794693,312.2035997372594,412.7978082182517,259.108041294551,279.74719559972937,291.461180285798,314.2407301432891,430.7066943482541,332.5989659351891,334.535243390945,285.62021167841476,308.0879552904631,279.12272243730763
15080200,{A078F6A3-1492-4880-AB0B-556324E832FA},{566E7651-2594-4C85-AE09-DB338B355F62},3D Elevation Product 1/3 Arc-second 1 x 1 degree ArcGrid,U.S. Geological Survey,2021-06-30 16:15:49,6358139.58,25730.5,"AZ,MX",Rio De La Concepcion,{4FA80659-5CEF-4389-8ED8-254D82766EC2},10.602048669164493,2.423928430673097,719,327.09325955106584,412.0716564786301,387.09686994008587,334.465284801733,387.1426067914585,323.7539951095752,284.23005581705104,414.7691355972224,320.6304018265093,264.28068343792984,470.04207473323237,270.39701761206953,341.58204945204506,326.8153311115302,327.6411219044116,243.37559925221345,265.5538482188565,315.95421385673893,254.3788400619903,314.4889861280035,246.5310111073932,311.01190037972043,275.6149357750099,324.5445730000178,408.62475020181324,306.1977253162602,321.2344022040156,331.70751047432225,390.4881781731796,397.2575332515893
15020006,{632550B8-E9F8-45AF-AB7D-AF10E5BAA921},,,,2012-06-11 07:54:57,1223477.44,4951.24,"AZ,NM",Upper Puerco,{146553E1-902E-4170-90E1-2C673F344BF7},5.0252843134196485,0.4921341802626698,720,283.90690702676795,316.2254197610792,252.31954229966354,290.57713606186513,299.96983980482344,249.11281613080118,358.51808702434306,293.86008804904054,345.83443928429546,226.54052899866164,286.6375398505107,237.78040679621128,265.8480701722143,241.09952572959259,275.9761565732519,271.30402042873357,286.16519965921805,261.15427927628764,245.39794237026905,244.55522582056025,303.47066184600203,238.07372680647595,245.74321990670626,222.40463338042488,319.84368713184466,253.12753849691038,268.6044178818414,220.83932012693464,221.49180118888546,213.59658269420513
15040004,{C0E1995D-1839-4D00-8985-8EB62BA2B736},,,,2012-06-11 07:54:57,1793336.54,7257.38,"AZ,NM",San Francisco,{ACF8ABFC-53A0-418F-B3EA-EF5EF5985A7E},5.581778210817803,0.704611145219486,721,513.3499786135274,593.1600547112531,556.7012166703234,475.5590009818693,484.82610782655996,415.09555571764304,472.8125552771852,510.5220135110619,508.35902998535,354.68742481071905,529.5392759010595,365.586638670756,411.866300621315,445.91399881242785,541.602450369461,498.66565013970865,561.6936592095408,499.9570902127968,486.9400924861906,466.78710086641007,395.03334291203277,432.03486290061727,469.8009580632762,432.85306310889376,556.7352226168871,446.0254261676263,398.2176560665729,332.6360942359185,355.95689801938744,335.7494728126049
14080204,{BCFFA668-8A9C-47EE-BBA0-A982BDF57B9F},,,,2012-06-11 07:54:57,2623451.7,10616.74,"AZ,NM,UT",Chinle,{E7085953-7165-45BD-8070-C94FB7DD98C8},7.7697508825057415,1.066831382145142,722,209.16952091893683,291.18850419268216,219.24003849638785,221.20119438509033,245.3374055035584,161.38124700927955,260.5842667861987,197.9977655714461,276.63194075436195,156.8534396344015,186.56423786566796,121.37596335864045,159.83761552193607,178.91245580965452,261.3849916918636,204.98702766988413,236.05267447526623,186.53963188929714,184.3665783822912,221.90375477968377,253.7816424190659,230.10456927238482,230.52529418654336,194.39530091185503,298.40150038218405,223.55645717888066,195.3454527793639,135.37982733204845,194.81381554891533,182.1016025970361
15010006,{DA8A0176-2A6C-41F5-AD95-FFDE023BF841},,,,2012-06-11 07:54:57,597958.24,2419.85,"AZ,NV",Grand Wash,{C59FDC80-EDE2-44E1-87EB-2E50981BA493},2.8623220981539714,0.2433225801614881,723,223.04675118601932,258.5006178686611,288.84394763651534,241.293788456815,311.8354889155983,161.94976251266556,176.26420134386058,309.84305933691905,239.95818432902408,130.88440157861993,208.8428017417007,83.72561527886813,191.2836206703418,172.1070944640637,357.9749595170422,236.94685048554877,173.11168517352792,166.28746271887192,157.26384230558074,196.9992550163856,294.26575782282083,273.38976435266653,221.08809380234095,232.8727145870069,252.10362797266703,257.9739959661834,256.613285732414,192.5387354105858,227.79269737703746,222.98069228753914
14080201,{C163FBED-AB06-4340-A278-B50B7705D53B},,,,2012-06-11 07:54:57,1276408.26,5165.45,"AZ,CO,NM,UT",Lower San Juan-Four Corners,{B4E45BB9-668E-40D6-862C-8B92968C62E1},4.895611947302824,0.524993087768541,724,183.83856006635497,266.136417690705,260.0922179882729,227.95274470177208,266.6714846974293,161.2955751924883,299.73373416151736,215.73000533240457,274.54420385533524,181.53840374083816,243.367171652115,145.54464540644992,207.27698358795686,199.3747396541065,272.70145613048,214.3284070696629,238.28361571375106,207.39613265109384,200.20413646741204,237.49250687684398,235.10598784001624,229.28077879069096,223.55892473499378,228.754661824384,303.07597819729165,247.31096725852154,186.82077973974592,122.51234900818307,196.38043834004327,160.53508983174478
15010002,{1A0B0282-69CF-4304-A74B-ADA090EB54B4},,,,2012-06-11 07:54:57,1632764.63,6607.57,AZ,Grand Canyon,{20CAF047-97AB-49E1-B2D3-03F7E6C97470},7.509277834123034,0.6614533340380515,1021,262.61548742132544,332.50766581175753,295.76386868513697,305.83989213789977,349.1543773575909,205.7001737763548,293.97974402099,336.56412823095434,377.4095053763947,211.0170860489885,285.53507175512595,166.68477291203183,289.4680187863969,270.1117145623747,382.2879156856647,299.73922771230286,249.2437181858747,249.21038906270493,203.54961660263976,241.22192830992708,339.16981878044743,283.99370004530044,256.8912555050731,280.2310497742326,363.0905775196521,307.9271691236054,286.30443243248345,202.7155629511955,234.64354960929364,201.1549094738452
15010004,{D51204E6-484B-4DBD-8BEA-202CDC301383},,,,2012-06-11 07:54:57,1877756.65,7599.02,AZ,Havasu Canyon,{B0B1CE74-2BCF-4A19-B138-789B14077B70},5.293533930606079,0.7573505821145747,1022,345.1940076541492,465.23266148267214,360.8808125731801,379.7530284269124,424.46741057553993,286.97588078196617,391.4440258326766,438.0885355626993,468.5580861373125,268.0969337632958,348.2422647563186,244.42836560837182,347.74208362299464,343.63687992718616,465.02046305184496,361.1457844349671,337.31695691763093,342.03801348837993,288.19738343066183,314.78554531750086,437.2369848749949,359.7018843711793,327.2855820903882,358.41576665599877,458.6139557159692,387.40328487729636,351.48303317571657,247.94933986753384,288.88071263180103,257.889456291437
