"","HUC8","Precip_MM","AET_MM","BFI","Recharge_MM"
"1",14070006,216.207841333333,195.103011292883,0.555881633061473,11.7317873883703
"2",14070007,281.409617,268.330570625226,0.292081674739427,3.82014976913851
"3",14080105,268.1060725,257.687016448588,0.138768551597291,1.4458373172654
"4",14080201,244.219697333333,221.227969940087,0.112423367629361,2.58480742116499
"5",14080204,217.636437333333,210.663857243494,0.185539716762863,1.29369053497526
"6",14080205,184.630638466667,174.385125036143,0.153639460384179,1.57411515482459
"7",15010001,294.432385,268.308102634619,0.297511403133447,7.77227190237896
"8",15010002,306.447319666667,278.790877588585,0.641825624060276,17.7506131960513
"9",15010003,351.762548333333,309.755982395582,0.122726504866117,5.15531901896826
"10",15010004,386.843630666667,356.536837463286,0.177282706215984,5.37287031582353
"11",15010005,186.653869133333,172.261248159513,0.471747548571641,6.78968366192065
"12",15010006,237.1766089,223.952758528263,0.143992412653684,1.90413411959773
"13",15010007,234.255457266667,232.130767663609,0.0715225402885034,0.151963197735261
"14",15010009,300.176409333333,271.293482905815,0.159606841367609,4.60991265654925
"15",15010010,241.333809333333,222.829585156429,0.415379865981524,7.68628215869474
"16",15010014,171.616947333333,169.092625742636,0.0580783142732654,0.14660834267128
"17",15020001,392.452298333333,377.013019776962,0.406394122218038,6.27443205659644
"18",15020002,291.434757666667,283.715447920505,0.36168978723813,2.79199549971444
"19",15020003,306.965309,293.949528387343,0.040377830857185,0.52554898805209
"20",15020004,298.358527,279.514012933064,0.0238894767580621,0.450185580819043
"21",15020005,390.764492333333,375.698400993742,0.36144148528263,5.44551043118579
"22",15020006,297.967396333333,267.999292019281,0.0662695686332409,1.98597334564824
"23",15020007,215.483274866667,207.818712439716,0.00600190095277188,0.0460019445328921
"24",15020008,273.619328666667,263.868091915,0.17867683816051,1.74232015094233
"25",15020009,229.274910666667,166.28551266183,0.242192264529879,15.2555449441652
"26",15020010,384.822277333333,346.651874709574,0.221785023122603,8.46562362850962
"27",15020011,216.701681,207.547522043644,0.155019233319977,1.41907070310357
"28",15020012,212.866377,201.385296012072,0.13905395482466,1.59648971703354
"29",15020013,195.1885802,195.633075020138,0.239551458908806,-0.106479382641446
"30",15020014,188.145093466667,181.442439819819,0.00473064792447794,0.0317078945629555
"31",15020015,417.860379333333,377.019044251439,0.306773111892034,12.5290234568979
"32",15020016,250.569233,244.232040728425,0.154877414041102,0.981487951302732
"33",15020017,198.509137,189.108906938932,0.232018811886741,2.181030210231
"34",15020018,198.018601833333,191.099757081833,0.246964091762582,1.70870621010047
"35",15030101,141.442157,132.980244807198,0.468771001134556,3.96669905013252
"36",15030103,193.068909266667,187.082719043405,0.169342318004779,1.01371532842462
"37",15030104,109.431683533333,107.559283194848,0.498436840882894,0.933273309582699
"38",15030105,159.499458833333,157.480102165117,0.091881291357522,0.185541098387149
"39",15030106,133.8088816,132.069837003241,0.0824741311974512,0.143426192231298
"40",15030107,66.1830646333333,65.3520357083109,0.224443616553985,0.186519137393003
"41",15030108,62.4152902866667,60.598316974363,0.301762964195501,0.548295252584869
"42",15030201,301.112784,289.95345954026,0.196680430224331,2.19482073575454
"43",15030202,401.269926666667,358.092477881221,0.119026313897844,5.1392525724445
"44",15030203,354.254341,342.801216816238,0.108685902321141,1.24479313630828
"45",15030204,202.331939366667,199.434496659194,0.590650884042273,1.71137709663056
"46",15040002,356.561668,354.022766820025,0.46878007494284,1.19018628542132
"47",15040004,467.421106,461.622273076632,0.386981680417431,2.24404210914469
"48",15040005,363.732978,352.786118608877,0.485647690534051,5.31631698190003
"49",15040006,315.240292333333,310.99553257601,0.00708007628839445,0.0300532229077534
"50",15040007,395.23299,383.090475193543,0.215730589452533,2.61951187663301
"51",15050100,285.304608,263.449292249342,0.464955610554428,10.1617516787072
"52",15050201,372.678926666667,358.238156001322,0.214912284650332,3.10349901580061
"53",15050202,386.918905666667,383.349052180863,0.240004579814915,0.856781185861051
"54",15050203,370.982721666667,367.857273110552,0.134663659273262,0.420884339436684
"55",15050301,380.203806,359.427340697112,0.11817853451795,2.45533222195834
"56",15050302,378.568153666667,340.562857291126,0.136344872757613,5.18182729843847
"57",15050303,200.603675666667,197.234830604348,0.193421126883523,0.651605808249765
"58",15050304,321.850582,318.889491480282,0.0293449782616322,0.0868931369318475
"59",15050305,243.016193,242.481830331497,0.00564362442557258,0.003015742208079
"60",15050306,223.1628768,223.580148773407,0.00977599194845286,-0.00407924745234267
"61",15060101,560.801065,395.239733783082,0.446717348058858,73.9591188223159
"62",15060102,619.336211,505.155343199667,0.557523842819803,63.6585561925413
"63",15060103,485.641224,409.870733955686,0.323555561570976,24.5159634567961
"64",15060104,476.016286,463.022594844958,0.17599071113848,2.28676894668958
"65",15060105,514.557049666667,427.076214871529,0.234779482976697,20.5387051635723
"66",15060106,294.5319188,215.615697154797,0.0890500295315318,7.02749186802221
"67",15060201,365.090218666667,356.118442779355,0.181578012018932,1.62907722989751
"68",15060202,462.211387333333,410.896443006347,0.36222074870914,18.587337554089
"69",15060203,469.719091666667,408.450183162516,0.356131750628142,21.8198036446586
"70",15070101,169.923808666667,168.810088020868,0.0913196640143462,0.101704595180166
"71",15070102,338.187745333333,297.258846393514,0.115189082478047,4.71456231571455
"72",15070103,296.432727,288.359696906967,0.153291914631835,1.23753023984145
"73",15070104,188.556009266667,186.655734109169,0.00224577865208878,0.00426759738180261
"74",15070201,118.0085988,116.752294454937,0.201899630426194,0.25364738297095
"75",15070202,163.746039233333,163.360620813437,0.00837334424146768,0.00322724110679209
