huc8,tnmid,metasourceid,sourcedatadesc,sourceoriginator,loaddate,areaacres,areasqkm,states,name,globalid,shape_Length,shape_Area,__index_level_0__,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
15020002,{1680E028-AB9B-4235-83C1-F448188260B7},,,,2021-01-21 14:27:19,1037723.36,4199.52,"AZ,NM",Upper Little Colorado,{F699E677-5802-4B54-BA13-AE171089EDE0},6.126102086536178,0.4125251278657235,1027,283.18354595009254,283.6533388366256,283.767195359681,284.1210202803469,284.07396830173235,285.0438461889147,284.15935092439764,283.3999985245412,283.98474817888814,285.32682252705723,284.2630261100107,284.7155262400806,284.05568817282807,284.3260420102081,284.3818563405349,284.5127166588195,284.43773306534325,283.9784825504197,284.38781781077915,283.425365309739,283.98750959593184,284.29981728972706,284.0174429635542,284.13162920757094,285.16393785554595,285.0820637587294,286.41757942559025,287.0682896757941,284.93424552768226,286.0021843790796
15020005,{F1BFA854-5B35-473C-A3B0-39ED87437935},,,,2012-06-11 07:54:57,607088.23,2456.8,AZ,Silver,{2EBDD8B8-6AF0-43BF-A17A-D0AD2B42F275},2.935637756236712,0.24079574479909993,1028,282.33916814983536,282.73632041517493,282.9986097843894,283.28733384246647,283.2238109597322,284.4802729956988,283.62831840353317,282.81344094085006,283.42245440911313,284.63840777930994,283.4422865765796,283.9404354489895,283.70870758110294,283.643091082017,283.62505184439664,283.82085929340445,283.61740259430246,283.2901218926529,283.56612202026537,282.6896775454318,283.3864833047738,283.5146868054266,283.19118671060943,283.3186372329415,284.2423962464738,284.2339343329588,285.45863253606615,286.31206224858505,284.06569958084293,285.1648679219595
15020007,{A5EB5183-0974-4FE2-8E19-9567A7C18416},,,,2012-06-11 07:54:57,714059.04,2889.7,AZ,Lower Puerco,{3B10AB03-A03F-40C7-AFEB-15CD4D25AD20},2.953769970068565,0.28562205747857244,1029,283.73748814896965,284.1200335678475,284.0385567998005,284.35422400134394,284.42732717880517,285.27597775180334,284.58342388670536,283.88719800056214,284.2123246184807,285.6490244867932,284.6948121288871,285.00127397721053,284.368472458763,284.71655794641,284.7372315434639,284.6086161105814,284.4852075729693,283.9360176407239,284.4426563274559,283.2995623405375,283.81628606184444,284.3760367824952,284.0654422565109,284.1557305564005,285.07697423784754,285.20207789105854,286.6505747770792,287.45261308759416,285.257739611295,286.36065211120655
15020008,{FCA98776-0952-4802-A5FF-5AA004EC43E2},{6533DEBE-58F5-4F30-A034-1EF63D925AD8},,U.S. Geological Survey,2023-04-07 10:01:18,1621354.39,6561.39,AZ,Middle Little Colorado,{5E15D476-D514-4314-B066-9ABDB5BAFE8A},8.61464238436843,0.6471142452655133,1030,283.29916347343783,283.80695777125834,284.0711889946567,284.4199713049714,284.38727112944633,285.6485033388617,284.76486424786333,283.8087640378578,284.1645607697429,285.4835173405125,284.4416271326346,284.85745765495653,284.4539773492029,284.55823688026,284.61669031268065,284.6809365704219,284.77458485028694,284.2900104395937,284.7248763176546,283.71157014432964,284.29175162281456,284.6537143012426,284.34956993564384,284.4496473585695,285.4759118979217,285.4337238951256,286.5041521470697,286.9931721464874,285.2594622689655,286.18482812207856
15020009,{AC3C6BC9-811A-445A-9F3D-54AA17CAEB33},,,,2012-06-11 07:54:57,520564.53,2106.65,AZ,Leroux Wash,{1535334A-B6D1-4919-BB72-E534C345D5E2},3.2237481512590684,0.20881419826773923,1031,283.35969922954473,283.6329129774402,283.5142759271836,283.69214536811836,283.68797365219746,284.5335096265169,283.83985544282405,283.1609051166666,283.43996061678087,284.80409836083305,283.86053916980626,284.20050426145593,283.8264064030606,283.9372636469165,283.9474730298749,283.8215451212825,283.7755663716236,283.1427248753696,283.79773793046974,282.70025171686115,283.16652000383107,283.7520592552068,283.33531702115187,283.42205652256655,284.3624559386556,284.43755155290154,285.726894457161,286.6201790789297,284.4471065507731,285.5333891856254
15020010,{088F98F6-B391-406C-A224-C5FE96639ABE},,,,2021-01-21 14:27:21,524763.61,2123.64,AZ,Chevelon Canyon,{63856F05-CDB1-424A-A589-0592DD817A77},2.591537768426205,0.20857951196846952,1057,281.9222147804749,282.46295978517537,282.58795736180554,282.9035944744225,282.82567449480194,284.18270238256054,283.2374807229349,282.36716565749316,282.80252460547104,284.014655040926,282.9137573236127,283.32543815142037,283.1192043569284,283.16193017389827,283.19352743514236,283.08429646569624,283.1800099553103,282.8010357718554,283.20627985562413,282.1528186605992,282.83481222769467,283.06455406134137,282.7651827499191,282.91282397473697,283.82290575378147,283.937958672306,285.00815565483094,285.65505002825245,283.7570740553037,284.898708098702
15020011,{CD1CD03C-0A49-439C-B46E-6FE4CFAD13CF},,,,2012-06-11 07:54:57,1073055.11,4342.5,AZ,Cottonwood Wash,{2F696549-C772-4D4B-8A89-76E7D904321B},4.947924379257356,0.4313767020508829,1058,283.3524623143849,283.5669310567022,283.4495541270006,283.5968485837151,283.6406068655945,284.5644003596188,283.85075895673094,283.2375272533275,283.4995143760021,284.8007137278903,283.8502120944381,284.2502735029394,283.998499460952,283.9687309660727,283.9078719249116,283.8162845063796,283.8351399937269,283.1538401994783,283.79387122126457,282.6931377655952,283.22761568616994,283.8221625577457,283.3099129176248,283.39544105514165,284.3412792889296,284.2923976541465,285.5961791927972,286.4246920871705,284.25232705452765,285.24179224402906
15020012,{86A4B262-022D-451E-9133-FB4180E76851},,,,2012-06-11 07:54:57,468403.69,1895.56,AZ,Corn-Oraibi,{388CB9E4-8455-49D3-9907-84E1CA0AFAD8},4.264915805148639,0.18950366813806283,1059,282.8556033874294,283.3975545903256,283.33074440393375,283.8645078970496,283.93362370349314,285.1951645057284,284.1361533513957,283.4733285582525,283.69221956278545,285.14459581262344,284.13715336130616,284.71390556164647,284.6984807431944,284.37725915195006,283.93148902479373,284.11526266819914,284.1356404159496,283.4795849794505,283.93341589506616,282.63290702485705,283.56471412731764,284.12900261603653,283.4744027947411,283.6978715583334,284.68513298351206,284.5011741109432,285.6008627760611,286.25370468158513,284.1602289464457,285.2164866294483
15020013,{C1B50806-1D44-405F-BBEA-3CB124F60585},{6533DEBE-58F5-4F30-A034-1EF63D925AD8},,U.S. Geological Survey,2023-04-07 10:01:18,734530.6,2972.54,AZ,Polacca Wash,{62B4C353-50CF-4D7A-B80A-B79ADEBECD18},4.189970070979458,0.2967696735569494,1060,283.03999095183093,283.43210071094893,283.3318933945932,283.7447326749692,283.9723243615274,285.17516255875995,284.23441632674627,283.64265063211144,283.8764242463144,285.2305008250142,284.2167194954992,284.7583504575611,284.7279269808726,284.3976292236747,283.92432210582575,283.99655965708035,284.01277140665763,283.3401586002611,283.84454201714516,282.6053308237348,283.4930770472988,284.0371546635887,283.4038557076876,283.6267927244203,284.5917703688973,284.51266622114434,285.78187772500337,286.4589600296913,284.33007853784414,285.3183238747393
15020014,{0B10F4B7-AB8D-46C1-8343-18C4CF75FC25},,,,2012-06-11 07:54:57,601082.03,2432.49,AZ,Jadito Wash,{B629A117-EDCD-400A-96E3-4DF0929642B1},3.152325640602333,0.2417271078611625,1061,283.7468239637742,284.0790388243383,284.0305915431824,284.2894840361864,284.55687673799486,285.66248887917027,284.88981054539374,284.18286465335285,284.3637790534537,285.689060436155,284.66087298500014,285.09808644086695,284.8242341402421,284.7773727178069,284.5712412644072,284.6044176432231,284.7142917487058,284.06316584971506,284.59292464832646,283.3988791309196,284.1224902990246,284.62940686752773,284.08193063046605,284.2545142613765,285.2482857153966,285.1711741890502,286.45524555822703,287.1436509731325,285.0870326151157,286.00671311932933
15020016,{88FE847E-5113-4BD6-B0D7-01276C2C98F2},,,,2021-01-21 14:27:22,1532502.14,6201.82,AZ,Lower Little Colorado,{4395809C-20FC-46F4-AAB6-C9E8F2FF7D93},5.053386980423159,0.6180831695750886,1062,283.7546326231201,284.3299949704273,284.13031284695893,284.71612519092565,284.54080477287147,285.7413249946163,284.83899048935484,283.91984034436496,284.17546534351396,285.63325671463645,284.73351328875196,285.5558700275241,285.37720585427695,285.27224434382765,284.6076230880675,285.0818275154409,285.26934772475846,284.51669036867276,284.9258219486119,283.76110051875924,284.5550715327067,285.1164167353572,284.53558436303894,285.87957210359707,286.7835759521197,285.7010408405276,286.32194682915963,286.7099257146272,285.11672552933925,286.2568829821795
15020017,{5D23221D-C617-42F3-81DB-99482956B1CA},,,,2012-06-11 07:54:57,524253.47,2121.58,AZ,Dinnebito Wash,{EF904DCB-B568-4651-8CCE-858EFF0F22E9},4.480131491405651,0.21182217436450393,1063,283.5587000857881,284.1195374216286,284.03738288909216,284.6109763416793,284.6071801244121,285.84493110149356,284.76438902431823,283.98236827048953,284.22076260828675,285.72974672207573,284.7670136115536,285.38951491936007,285.3511088527242,285.08422099652097,284.57221416472663,284.8994407097385,284.996012854537,284.3307129459936,284.7554823365181,283.4756738974559,284.3809187780977,284.9568987980764,284.29897638347376,284.75172945458127,285.86394073694277,285.2820746959482,286.1910591329694,286.6542807529239,284.86387348654483,285.86944179296313
15030103,{197529A4-D93B-4D9C-9943-3B815DF873ED},,,,2012-06-11 07:54:57,852374.54,3449.44,AZ,Sacramento Wash,{3EA1B585-BE1E-49A4-95F2-2BF7DA7ADB2F},3.485270815777744,0.34038305831881993,1064,290.4036006045943,291.6204857361318,290.83816146004625,291.82952652196855,291.12185796881533,292.9655492087337,292.41738095111816,290.61830731358543,291.14863408946337,292.81790725321997,291.56822399278315,291.8935205594554,291.9363541930896,291.74364054330766,290.7297263774677,291.8790233313873,292.09321256781936,291.51811642504464,291.7778908073615,290.69573033861013,291.1851528216675,291.61049357431784,291.51789359011633,291.74972803345014,292.16842938360327,292.6476826597746,293.6043165167577,294.39347755690864,292.32979032677184,293.43737832295176
15030201,{23578BFA-D745-41C9-8DB1-319A827ECE89},,,,2012-06-11 07:54:57,1377911.6,5576.22,AZ,Big Sandy,{93FA7FC6-BFA1-4394-AAD1-17F39DB50EFD},5.212702135945312,0.5503146347787331,1065,287.18705700934885,288.3213011552561,287.6518988096832,288.35646742738027,287.69346439164843,289.31594211398163,288.6626595468048,287.2562015947359,287.80426101535255,289.6409759933093,288.4156695114413,288.8289189230275,288.6186859480357,288.4000545108145,287.6603848728384,288.493957283234,288.6486650701546,287.99042111683156,288.44800275559027,287.40302254845983,287.7640300451541,288.1400903625728,288.0708068102854,288.4242182993323,288.93011206166904,289.0092426143404,290.1887574946932,290.5526210006283,288.71062962632084,289.9312756791009
15030202,{FB6B8E22-F849-4846-AB5B-417EF726EA4A},,,,2012-06-11 07:54:57,456381.92,1846.91,AZ,Burro,{570FA15F-AF13-4496-953B-0B51CF2A1B64},2.588125681035226,0.18175526231144293,1066,287.70808368422206,288.55177332188015,288.00938990180396,288.7230240468379,288.086946220069,289.5867860103346,288.95884488289437,287.7744132069395,288.4572920672756,290.24264205518085,288.97616405525855,289.2002387916027,288.29710154646085,288.1501089149262,287.5257554205735,288.3867688981083,288.4651244932755,287.90082889187624,288.2728379092194,287.21429204355826,287.6282990392649,288.01745214822716,287.92778648732303,288.34304565290347,288.8069723686889,288.8568757775957,289.8691313977607,290.6533793695823,288.6154347439006,289.7978357374782
